Sample_ID,Participant,Bottle_ID,Incubation,pH,Redox,Carbon,PFAS,Time,PFOA,diPAP,monoPAP ,FTOH,PFHxA,PFOA_Norm,diPAP_Norm
B72F20,A,Bottle_20,Abiotic,7,Aerobic,glucose,Yes,72,NA,NA,NA,0,NA,NA,NA
B72F21,A,Bottle_21,Abiotic,2,Anaerobic,lactose,Yes,72,NA,NA,NA,0,NA,NA,NA
B72F22,A,Bottle_22,Abiotic,7,Anaerobic,lactose,Yes,72,NA,NA,NA,0,NA,NA,NA
B72F23,A,Bottle_23,Abiotic,2,Anaerobic,glucose,Yes,72,NA,NA,NA,0,NA,NA,NA
B72F24,A,Bottle_24,Abiotic,7,Anaerobic,glucose,Yes,72,NA,NA,NA,0,NA,NA,NA
B72F25,A,Bottle_25,Abiotic,2,Aerobic,lactose,No,72,NA,NA,NA,0,NA,NA,NA
B72F26,A,Bottle_26,Abiotic,7,Aerobic,lactose,No,72,NA,NA,NA,0,NA,NA,NA
B72F27,A,Bottle_27,Abiotic,2,Aerobic,glucose,No,72,NA,NA,NA,0,NA,NA,NA
B72F28,A,Bottle_28,Abiotic,7,Aerobic,glucose,No,72,NA,NA,NA,0,NA,NA,NA
B72F29,A,Bottle_29,Abiotic,2,Anaerobic,lactose,No,72,NA,NA,NA,0,NA,NA,NA
B72F30,A,Bottle_30,Abiotic,7,Anaerobic,lactose,No,72,NA,NA,NA,0,NA,NA,NA
B72F31,A,Bottle_31,Abiotic,2,Anaerobic,glucose,No,72,NA,NA,NA,0,NA,NA,NA
B72F32,A,Bottle_32,Abiotic,7,Anaerobic,glucose,No,72,NA,NA,NA,0,NA,NA,NA
B168F17,A,Bottle_17,Abiotic,2,Aerobic,lactose,Yes,168,4133.220926,651.1311146,28.57920143,0,0,137.7740309,21.70437049
B168F18,A,Bottle_18,Abiotic,7,Aerobic,lactose,Yes,168,4277.122602,3125.774122,20.57020262,0,3.052849361,142.5707534,104.1924707
B168F19,A,Bottle_19,Abiotic,2,Aerobic,glucose,Yes,168,3560.371276,483.4457756,23.03081049,0,0,118.6790425,16.11485919
B168F20,A,Bottle_20,Abiotic,7,Aerobic,glucose,Yes,168,NA,NA,NA,NA,NA,NA,NA
B168F21,A,Bottle_21,Abiotic,2,Anaerobic,lactose,Yes,168,2979.934245,165.2033499,27.30956496,0,0,99.33114152,5.50677833
B168F22,A,Bottle_22,Abiotic,7,Anaerobic,lactose,Yes,168,3212.816562,1800.709926,23.79591776,0,2.831682345,107.0938854,60.02366419
B168F23,A,Bottle_23,Abiotic,2,Anaerobic,glucose,Yes,168,3311.827022,186.0388611,28.47657926,0,0,110.3942341,6.20129537
B168F24,A,Bottle_24,Abiotic,7,Anaerobic,glucose,Yes,168,3564.440407,1829.315821,26.01829559,0,3.770580996,118.8146802,60.97719404
B168F25,A,Bottle_25,Abiotic,2,Aerobic,lactose,No,168,0,0,0,0,0,NA,NA
B168F26,A,Bottle_26,Abiotic,7,Aerobic,lactose,No,168,NA,NA,NA,NA,NA,NA,NA
B168F27,A,Bottle_27,Abiotic,2,Aerobic,glucose,No,168,15.77869576,0,0,0,0,NA,NA
B168F28,A,Bottle_28,Abiotic,7,Aerobic,glucose,No,168,4.769348688,0,0,0,0,NA,NA
B168F29,A,Bottle_29,Abiotic,2,Anaerobic,lactose,No,168,0,0,0,0,0,NA,NA
B168F30,A,Bottle_30,Abiotic,7,Anaerobic,lactose,No,168,0,0,0,0,0,NA,NA
B168F31,A,Bottle_31,Abiotic,2,Anaerobic,glucose,No,168,2.991272925,0,0,0,0,NA,NA
B168F32,A,Bottle_32,Abiotic,7,Anaerobic,glucose,No,168,0,0,0,0,0,NA,NA
B0M1,B,Bottle_01,Biotic,2,Aerobic,lactose,Yes,0,4545.705972,1152.937609,22.70674272,0,4.207638812,151.5235324,38.43125363
B0M2,B,Bottle_02,Biotic,7,Aerobic,lactose,Yes,0,4035.517934,4057.145733,27.43487472,2.131241747,4.179763321,134.5172645,135.2381911
B0M3,B,Bottle_03,Biotic,2,Aerobic,glucose,Yes,0,3607.824606,1025.139048,31.11150947,0,0,120.2608202,34.17130161
B0M4,B,Bottle_04,Biotic,7,Aerobic,glucose,Yes,0,3926.244166,4109.419026,24.11146873,0,0,130.8748055,136.9806342
B0M5,B,Bottle_05,Biotic,2,Anaerobic,lactose,Yes,0,3477.3259,777.403003,17.55449175,0,4.014397834,115.9108633,25.91343343
B0M6,B,Bottle_06,Biotic,7,Anaerobic,lactose,Yes,0,4218.656056,4488.211297,27.02957833,0,4.810380722,140.6218685,149.6070432
B0M7,B,Bottle_07,Biotic,2,Anaerobic,glucose,Yes,0,4628.227475,434.8310904,24.77844775,0,0,154.2742492,14.49436968
B0M8,B,Bottle_08,Biotic,7,Anaerobic,glucose,Yes,0,4138.423833,4519.554674,24.84114891,0,0,137.9474611,150.6518225
B0M9,B,Bottle_09,Biotic,2,Aerobic,lactose,No,0,0,0,0,0,0,NA,NA
B0M10,B,Bottle_10,Biotic,7,Aerobic,lactose,No,0,0,0,0,0,0,NA,NA
B0M11,B,Bottle_11,Biotic,2,Aerobic,glucose,No,0,0,0,0,0,0,NA,NA
B0M12,B,Bottle_12,Biotic,7,Aerobic,glucose,No,0,5.503884696,0,0,0,0,NA,NA
B0M13,B,Bottle_13,Biotic,2,Anaerobic,lactose,No,0,0,0,0,0,0,NA,NA
B0M14,B,Bottle_14,Biotic,7,Anaerobic,lactose,No,0,0,0,0,0,0,NA,NA
B0M15,B,Bottle_15,Biotic,2,Anaerobic,glucose,No,0,0,0,0,0,0,NA,NA
B0M16,B,Bottle_16,Biotic,7,Anaerobic,glucose,No,0,0,0,0,0,0,NA,NA
B4M1,B,Bottle_01,Biotic,2,Aerobic,lactose,Yes,4,4370.868779,2994.752153,27.498187,0,6.244036219,145.695626,99.82507178
B4M2,B,Bottle_02,Biotic,7,Aerobic,lactose,Yes,4,4123.919237,NA,22.20843349,0,5.163848145,137.4639746,NA
B4M3,B,Bottle_03,Biotic,2,Aerobic,glucose,Yes,4,NA,3020.868701,23.78781829,0,5.851977469,NA,100.6956234
B4M4,B,Bottle_04,Biotic,7,Aerobic,glucose,Yes,4,3940.354851,15714.64709,17.88779792,0,4.134279008,131.3451617,523.8215698
B4M5,B,Bottle_05,Biotic,2,Anaerobic,lactose,Yes,4,4204.951552,735.7233177,26.65227134,0,5.442387265,140.1650517,24.52411059
B4M6,B,Bottle_06,Biotic,7,Anaerobic,lactose,Yes,4,4158.632295,15821.0161,19.75318802,0,5.445957077,138.6210765,527.3672034
B4M7,B,Bottle_07,Biotic,2,Anaerobic,glucose,Yes,4,4576.033676,1030.964633,22.99103687,0,6.20244825,152.5344559,34.36548777
B4M8,B,Bottle_08,Biotic,7,Anaerobic,glucose,Yes,4,3679.78927,12939.50721,19.79987778,0,5.423945141,122.6596423,431.316907
B4M9,B,Bottle_09,Biotic,2,Aerobic,lactose,No,4,2.852112676,0,0,0,0,NA,NA
B4M10,B,Bottle_10,Biotic,7,Aerobic,lactose,No,4,0,0,0,0,0,NA,NA
B4M11,B,Bottle_11,Biotic,2,Aerobic,glucose,No,4,0,0,0,0,0,NA,NA
B4M12,B,Bottle_12,Biotic,7,Aerobic,glucose,No,4,0,0,0,0,0,NA,NA
B4M13,B,Bottle_13,Biotic,2,Anaerobic,lactose,No,4,3.19513675,0,0,0,0,NA,NA
B4M14,B,Bottle_14,Biotic,7,Anaerobic,lactose,No,4,0,0,0,0,0,NA,NA
